"Exchange","Asset Class","Product Name","Product Code","Ratio","Side","Start Period","End Period","Single Period","Maintenance","Currency"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","09/2027
12/2027","09/2027
12/2027","09/2027
12/2027","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","12/2027
03/2028","12/2027
03/2028","12/2027
03/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","03/2028
06/2028","03/2028
06/2028","03/2028
06/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","06/2028
09/2028","06/2028
09/2028","06/2028
09/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","09/2028
12/2028","09/2028
12/2028","09/2028
12/2028","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","12/2028
03/2029","12/2028
03/2029","12/2028
03/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","03/2029
06/2029","03/2029
06/2029","03/2029
06/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","06/2029
09/2029","06/2029
09/2029","06/2029
09/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","09/2029
12/2029","09/2029
12/2029","09/2029
12/2029","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","12/2029
03/2030","12/2029
03/2030","12/2029
03/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","03/2030
06/2030","03/2030
06/2030","03/2030
06/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
2
1","A
B
A","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","06/2030
09/2030","06/2030
09/2030","06/2030
09/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","09/2030
12/2030","09/2030
12/2030","09/2030
12/2030","9.00","USD"
"CME","FX","EURO FX","M6E","1
1","B
A","01/2026
01/2026","06/2026
06/2026","","10.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","01/2026
09/2026","06/2026
12/2027","","63.00","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","01/2026
03/2028","06/2026
12/2030","","87.00","USD"
"CME","FX","EURO FX","M6E","1
1","B
A","09/2026
09/2026","12/2027
12/2027","","27.50","USD"
"CME","FX","EURO FX","M6E","1
1","A
B","09/2026
03/2028","12/2027
12/2030","","35.00","USD"
"CME","FX","EURO FX","M6E","1
1","B
A","03/2028
03/2028","12/2030
12/2030","","28.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","02/2026
03/2026","02/2026
03/2026","02/2026
03/2026","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","03/2026
04/2026","03/2026
04/2026","03/2026
04/2026","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","04/2026
05/2026","04/2026
05/2026","04/2026
05/2026","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","05/2026
06/2026","05/2026
06/2026","05/2026
06/2026","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","05/2026
06/2026
09/2026","05/2026
06/2026
09/2026","05/2026
06/2026
09/2026","17.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","06/2026
09/2026","06/2026
09/2026","06/2026
09/2026","14.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","17.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2026
12/2026","09/2026
12/2026","09/2026
12/2026","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","12/2026
03/2027","12/2026
03/2027","12/2026
03/2027","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","03/2027
06/2027","03/2027
06/2027","03/2027
06/2027","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","06/2027
09/2027","06/2027
09/2027","06/2027
09/2027","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2027
12/2027","09/2027
12/2027","09/2027
12/2027","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","12/2027
03/2028","12/2027
03/2028","12/2027
03/2028","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","03/2028
06/2028","03/2028
06/2028","03/2028
06/2028","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","06/2028
09/2028","06/2028
09/2028","06/2028
09/2028","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2028
12/2028","09/2028
12/2028","09/2028
12/2028","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","12/2028
03/2029","12/2028
03/2029","12/2028
03/2029","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","03/2029
06/2029","03/2029
06/2029","03/2029
06/2029","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","06/2029
09/2029","06/2029
09/2029","06/2029
09/2029","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2029
12/2029","09/2029
12/2029","09/2029
12/2029","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","12/2029
03/2030","12/2029
03/2030","12/2029
03/2030","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","03/2030
06/2030","03/2030
06/2030","03/2030
06/2030","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
2
1","A
B
A","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","7.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","06/2030
09/2030","06/2030
09/2030","06/2030
09/2030","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2030
12/2030","09/2030
12/2030","09/2030
12/2030","4.50","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","B
A","01/2026
01/2026","06/2026
06/2026","","6.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","01/2026
09/2026","06/2026
12/2027","","25.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","01/2026
03/2028","06/2026
12/2030","","40.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","B
A","09/2026
09/2026","12/2027
12/2027","","10.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","A
B","09/2026
03/2028","12/2027
12/2030","","25.00","USD"
"CME","FX","CANADIAN DOLLAR","MCD","1
1","B
A","03/2028
03/2028","12/2030
12/2030","","20.00","USD"
"CME","FX","INRUSD FUTURES","MIR","1
1","B
A","01/2026
01/2026","12/2027
12/2027","","25.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","02/2026
03/2026","02/2026
03/2026","02/2026
03/2026","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","03/2026
04/2026","03/2026
04/2026","03/2026
04/2026","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","04/2026
05/2026","04/2026
05/2026","04/2026
05/2026","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","05/2026
06/2026","05/2026
06/2026","05/2026
06/2026","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","05/2026
06/2026
09/2026","05/2026
06/2026
09/2026","05/2026
06/2026
09/2026","41.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","06/2026
09/2026","06/2026
09/2026","06/2026
09/2026","38.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","41.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2026
12/2026","09/2026
12/2026","09/2026
12/2026","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","12/2026
03/2027","12/2026
03/2027","12/2026
03/2027","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","03/2027
06/2027","03/2027
06/2027","03/2027
06/2027","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","06/2027
09/2027","06/2027
09/2027","06/2027
09/2027","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2027
12/2027","09/2027
12/2027","09/2027
12/2027","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","12/2027
03/2028","12/2027
03/2028","12/2027
03/2028","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","03/2028
06/2028","03/2028
06/2028","03/2028
06/2028","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","06/2028
09/2028","06/2028
09/2028","06/2028
09/2028","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2028
12/2028","09/2028
12/2028","09/2028
12/2028","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","12/2028
03/2029","12/2028
03/2029","12/2028
03/2029","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","03/2029
06/2029
09/2029","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","03/2029
06/2029","03/2029
06/2029","03/2029
06/2029","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","06/2029
09/2029
12/2029","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","06/2029
09/2029","06/2029
09/2029","06/2029
09/2029","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","09/2029
12/2029
03/2030","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2029
12/2029","09/2029
12/2029","09/2029
12/2029","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","12/2029
03/2030
06/2030","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","12/2029
03/2030","12/2029
03/2030","12/2029
03/2030","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","03/2030
06/2030
09/2030","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","03/2030
06/2030","03/2030
06/2030","03/2030
06/2030","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
2
1","A
B
A","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","06/2030
09/2030
12/2030","13.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","06/2030
09/2030","06/2030
09/2030","06/2030
09/2030","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2030
12/2030","09/2030
12/2030","09/2030
12/2030","10.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","B
A","01/2026
01/2026","06/2026
06/2026","","10.50","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","01/2026
09/2026","06/2026
12/2027","","78.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","01/2026
03/2028","06/2026
12/2030","","101.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","B
A","09/2026
09/2026","12/2027
12/2027","","30.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","A
B","09/2026
03/2028","12/2027
12/2030","","52.00","USD"
"CME","FX","JAPANESE YEN","MJY","1
1","B
A","03/2028
03/2028","12/2030
12/2030","","45.00","USD"
"CME","FX","USD/OFFSHORE RMB (CNH) FUTURES","MNH","1
1","B
A","01/2026
01/2026","06/2026
06/2026","","300.00","CNH"
"CME","FX","USD/OFFSHORE RMB (CNH) FUTURES","MNH","1
1","A
B","01/2026
09/2026","06/2026
09/2027","","570.00","CNH"
"CME","FX","USD/OFFSHORE RMB (CNH) FUTURES","MNH","1
1","B
A","09/2026
09/2026","09/2027
09/2027","","450.00","CNH"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","02/2026
03/2026
04/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","02/2026
03/2026","02/2026
03/2026","02/2026
03/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","03/2026
04/2026","03/2026
04/2026","03/2026
04/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","03/2026
04/2026
05/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","04/2026
05/2026","04/2026
05/2026","04/2026
05/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","04/2026
05/2026
06/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","05/2026
06/2026","05/2026
06/2026","05/2026
06/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","05/2026
06/2026
07/2026","05/2026
06/2026
07/2026","05/2026
06/2026
07/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","06/2026
07/2026","06/2026
07/2026","06/2026
07/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","06/2026
07/2026
08/2026","06/2026
07/2026
08/2026","06/2026
07/2026
08/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","07/2026
08/2026","07/2026
08/2026","07/2026
08/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","07/2026
08/2026
09/2026","07/2026
08/2026
09/2026","07/2026
08/2026
09/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","08/2026
09/2026","08/2026
09/2026","08/2026
09/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","08/2026
09/2026
10/2026","08/2026
09/2026
10/2026","08/2026
09/2026
10/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","09/2026
10/2026","09/2026
10/2026","09/2026
10/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","09/2026
10/2026
11/2026","09/2026
10/2026
11/2026","09/2026
10/2026
11/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","10/2026
11/2026","10/2026
11/2026","10/2026
11/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","10/2026
11/2026
12/2026","10/2026
11/2026
12/2026","10/2026
11/2026
12/2026","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","11/2026
12/2026
01/2027","11/2026
12/2026
01/2027","11/2026
12/2026
01/2027","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","11/2026
12/2026","11/2026
12/2026","11/2026
12/2026","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","12/2026
01/2027
02/2027","12/2026
01/2027
02/2027","12/2026
01/2027
02/2027","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","12/2026
01/2027","12/2026
01/2027","12/2026
01/2027","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","01/2027
02/2027
03/2027","01/2027
02/2027
03/2027","01/2027
02/2027
03/2027","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","01/2027
02/2027","01/2027
02/2027","01/2027
02/2027","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
2
1","A
B
A","02/2027
03/2027
06/2027","02/2027
03/2027
06/2027","02/2027
03/2027
06/2027","75.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","02/2027
03/2027","02/2027
03/2027","02/2027
03/2027","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","03/2027
06/2027","03/2027
06/2027","03/2027
06/2027","40.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","B
A","01/2026
01/2026","06/2026
06/2026","","50.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","01/2026
07/2026","06/2026
01/2027","","120.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","01/2026
02/2027","06/2026
06/2027","","250.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","B
A","07/2026
07/2026","01/2027
01/2027","","100.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","A
B","07/2026
02/2027","01/2027
06/2027","","200.00","USD"
"CME","FX","MEXICAN PESO","MP","1
1","B
A","02/2027
02/2027","06/2027
06/2027","","110.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","03/2026
06/2026
09/2026","03/2026
06/2026
09/2026","03/2026
06/2026
09/2026","56.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","03/2026
06/2026","03/2026
06/2026","03/2026
06/2026","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","06/2026
09/2026
12/2026","56.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","06/2026
09/2026","06/2026
09/2026","06/2026
09/2026","63.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","09/2026
12/2026","09/2026
12/2026","09/2026
12/2026","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","09/2026
12/2026
03/2027","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","12/2026
03/2027","12/2026
03/2027","12/2026
03/2027","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","12/2026
03/2027
06/2027","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","03/2027
06/2027","03/2027
06/2027","03/2027
06/2027","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","03/2027
06/2027
09/2027","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","06/2027
09/2027","06/2027
09/2027","06/2027
09/2027","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","06/2027
09/2027
12/2027","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","09/2027
12/2027","09/2027
12/2027","09/2027
12/2027","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","09/2027
12/2027
03/2028","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","12/2027
03/2028","12/2027
03/2028","12/2027
03/2028","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","12/2027
03/2028
06/2028","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","03/2028
06/2028","03/2028
06/2028","03/2028
06/2028","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","03/2028
06/2028
09/2028","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","06/2028
09/2028
12/2028","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","06/2028
09/2028","06/2028
09/2028","06/2028
09/2028","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","09/2028
12/2028
03/2029","11.00","USD"
"CME","FX","SWISS FRANC","MSF","1
1","A
B","09/2028
12/2028","09/2028
12/2028","09/2028
12/2028","18.00","USD"
"CME","FX","SWISS FRANC","MSF","1
2
1","A
B
A","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","12/2028
03/2029
06/2029","11.00","USD"
